#System,Teff-K(1),Teff-K(2),Teff-K(3),FeH-dex(1),FeH-dex(2),FeH-dex(3),M1-Msun(1),M1-Msun(2),M1-Msun(3),R1-Rsun(1),R1-Rsun(2),R1-Rsun(3),logg1-cgs(1),logg1-cgs(2),logg1-cgs(3),rho1-rhosun(1),rho1-rhosun(2),rho1-rhosun(3),Porb,eccentricity(1),eccentricity(2),eccentricity(3),sep-AU(1),sep-AU(2),sep-AU(3),M2-Mjup(1),M2-Mjup(2),M2-Mjup(3),R2-Rjup(1),R2-Rjup(2),R2-Rjup(3),g2-ms2(1),g2-ms2(2),g2-ms2(3),rho2-rhoJup(1),rho2-rhoJup(2),rho2-rhoJup(3),Teq-K(1),Teq-K(2),Teq-K(3),Discovery-ref,Recent-ref
WASP-026,6015,55,55,-0.02,0.09,0.09,1.095,0.046,0.046,1.284,0.036,0.036,4.26,0.022,0.022,0.517,0.037,0.037,2.767,0,0.0097,0,0.03966,0.00056,0.00056,1.02,0.033,0.033,1.216,0.047,0.047,17.1,1.3,1.3,0.53,0.06,0.06,1650,24,24,2010A+A...520A..56S,2014MNRAS.444..776S
WASP-028,6084,45,45,-0.2,0.07,0.07,0.993,0.067,0.067,1.083,0.025,0.025,4.37,0.018,0.018,0.7815,0.0068,0.0068,3.409,0,0.075,0,0.0442,0.001,0.001,0.889,0.058,0.058,1.219,0.028,0.028,14.09,0.91,0.91,0.491,0.027,0.027,1456,40,40,2015A+A...575A..61A,arXiv:1710.08892
WASP-029,4875,65,65,0.11,0.14,0.14,0.825,0.033,0.033,0.808,0.044,0.044,4.54,0.04,0.04,1.56,0.2,0.23,3.923,0.03,0.05,0.03,0.04565,0.0006,0.00062,0.244,0.02,0.02,0.775,0.031,0.031,10,1.4,1.4,0.53,0.11,0.06,960,30,30,2010ApJ...723L..60H,arXiv:2109.11366
WASP-030,6190,50,50,0.07,0.08,0.08,1.249,0.032,0.036,1.389,0.033,0.025,4.25,0.009,0.018,0.466,0.016,0.029,4.157,0,0.0044,0,0.05534,0.00047,0.00051,62.5,1.2,1.2,0.951,0.028,0.024,1714,77,85,86.8,5.7,5.7,1474,25,25,2011ApJ...726L..19A,2013A+A...549A..18T
WASP-031,6175,70,70,-0.2,0.09,0.09,1.163,0.026,0.026,1.252,0.033,0.033,4.308,0.02,0.02,0.592,0.042,0.042,3.406,0,-1,-1,0.04659,0.00035,0.00035,0.478,0.029,0.029,1.549,0.05,0.05,4.56,0.38,0.38,0.129,0.014,0.014,1575,32,32,2011A+A...531A..60A,2011A+A...531A..60A
WASP-032,6100,100,100,-0.13,0.1,0.1,1.1,0.03,0.03,1.11,0.05,0.05,4.39,0.03,0.03,0.8,0.1,0.1,2.719,0.018,0.0065,0.0065,0.0394,0.0003,0.0003,3.6,0.07,0.07,1.18,0.07,0.07,58.9,5.4,5.4,2.2,0.4,0.4,1560,50,50,2010PASP..122.1465M,2010PASP..122.1465M
WASP-033,7430,100,100,0.1,0.2,0.2,1.561,0.045,0.079,1.509,0.019,0.03,4.27,0.01,0.01,0.478,0.008,0.008,1.22,0,-1,-1,0.0259,0.0002,0.0005,2.16,0.2,0.2,1.679,0.019,0.03,19,2,2,0.48,0.07,0.07,2710,50,50,2010MNRAS.407..507C,2015A+A...578L...4L
WASP-034,5704,26,26,0.08,0.04,0.04,1.01,0.07,0.07,0.93,0.12,0.12,4.5,0.1,0.1,-1,-1,-1,4.318,0.038,0.012,0.012,0.0524,0.0004,0.0004,0.59,0.01,0.01,1.22,0.11,0.08,9.1,1.1,1.4,0.34,0.08,0.08,1250,30,30,2011A+A...526A.130S,2011A+A...526A.130S
WASP-035,6072,62,62,-0.05,0.05,0.05,1.07,0.03,0.03,1.09,0.03,0.03,4.4,0.02,0.02,0.83,0.07,0.07,3.162,0,-1,-1,0.04317,0.00033,0.00033,0.72,0.06,0.06,1.32,0.05,0.05,9.5,0.9,0.9,0.32,0.04,0.04,1450,30,30,2011AJ....142...86E,2011AJ....142...86E
WASP-036,5928,59,59,-0.01,0.05,0.05,1.081,0.034,0.034,0.985,0.014,0.014,4.486,0.009,0.009,1.132,0.032,0.032,1.537,0,-1,-1,0.02677,0.00028,0.00028,2.361,0.07,0.07,1.327,0.021,0.021,33.2,1.1,1.1,0.945,0.042,0.042,1733,19,19,2012AJ....143...81S,2016MNRAS.459.1393M
WASP-037,5940,55,55,-0.4,0.12,0.12,0.925,0.12,0.12,1.003,0.053,0.053,4.39,0.02,0.03,0.931,0.064,0.099,3.577,0,-1,-1,0.0446,0.0019,0.0019,1.8,0.17,0.128,1.16,0.07,0.06,30.2,2.1,2.7,1.15,0.12,0.15,1323,25,15,2011AJ....141....8S,2011AJ....141....8S
WASP-038,6436,60,60,0.06,0.04,0.04,1.28,0.05,0.05,1.35,0.03,0.03,4.8,0.07,0.07,0.37,0.03,0.03,6.872,0.0314,0.0046,0.0041,0.07522,0.00074,0.00075,2.7,0.1,0.1,1.07,0.02,0.02,-1,-1,-1,1.7,0.08,0.08,1292,33,33,2011A+A...525A..54B,arXiv:2106.11331
WASP-039,5485,50,50,0.01,0.09,0.09,0.913,0.046,0.046,0.939,0.022,0.022,4.453,0.018,0.018,1.103,0.057,0.057,4.055,0,-1,-1,0.04828,0.00081,0.00081,0.281,0.032,0.032,1.279,0.04,0.04,4.26,0.5,0.5,0.126,0.017,0.017,1166,14,14,2011A+A...531A..40F,2018A+A...613A..41M
WASP-041,5546,33,33,0.06,0.04,0.04,0.987,0.033,0.033,0.886,0.012,0.012,4.538,0.009,0.009,1.42,0.034,0.034,3.052,0,0.026,0,0.041,0.0005,0.0005,0.977,0.026,0.026,1.178,0.018,0.018,17.45,0.46,0.46,0.558,0.021,0.021,1242,12,12,2011PASP..123..547M,2016MNRAS.457.4205S
WASP-042,5315,79,79,0.29,0.05,0.05,0.951,0.063,0.063,0.892,0.021,0.021,4.515,0.023,0.023,1.338,0.092,0.092,4.982,0.06,0.013,0.013,0.0561,0.0012,0.0012,0.527,0.028,0.028,1.122,0.039,0.039,10.38,0.61,0.61,0.349,0.03,0.03,1021,19,19,2012A+A...544A..72L,2016MNRAS.457.4205S
WASP-043,4520,120,120,-0.01,0.12,0.12,0.717,0.025,0.025,0.667,0.01,0.011,4.645,0.011,0.01,2.41,0.08,0.08,0.813,0.0035,0.006,0.0025,0.01526,0.00018,0.00018,2.034,0.052,0.051,1.036,0.019,0.019,47,1.4,1.3,1.826,0.084,0.078,1440,40,39,2011A+A...535L...7H,2012A+A...542A...4G
WASP-044,5400,150,150,0.06,0.1,0.1,0.917,0.092,0.092,0.865,0.038,0.038,4.526,0.02,0.02,1.414,0.058,0.058,2.424,0,-1,-1,0.03445,0.00112,0.00112,0.869,0.081,0.081,1.002,0.038,0.038,21.5,1.6,1.6,0.808,0.074,0.074,1304,37,37,2012MNRAS.422.1988A,2013MNRAS.430.2932M
WASP-045,5100,200,200,0.36,0.12,0.12,0.904,0.067,0.067,0.917,0.024,0.024,4.47,0.014,0.014,1.174,0.047,0.047,3.126,0,-1,-1,0.0405,0.001,0.001,1.002,0.062,0.062,0.992,0.038,0.038,25.2,1.3,1.3,0.959,0.077,0.077,1170,24,24,2012MNRAS.422.1988A,2016MNRAS.456..990C
WASP-046,5600,150,150,-0.37,0.13,0.13,0.828,0.076,0.076,0.858,0.027,0.027,4.489,0.013,0.013,1.31,0.025,0.025,1.43,0,-1,-1,0.02335,0.00072,0.00072,1.91,0.13,0.13,1.174,0.037,0.037,34.3,1.1,1.1,1.103,0.052,0.052,1636,44,44,2012MNRAS.422.1988A,2016MNRAS.456..990C
WASP-047b,5576,67,67,0.36,0.05,0.05,1.04,0.031,0.031,1.137,0.013,0.013,4.3437,0.0063,0.0063,0.708,0.01,0.01,4.159,0.028,0.0042,0.002,0.05111,0.00051,0.00051,1.142,0.023,0.023,1.123,0.013,0.013,22.33,0.27,0.27,0.749,0.016,0.016,1220,20,20,2012MNRAS.426..739H,2017AJ....154..237V
WASP-047c,5576,67,67,0.36,0.05,0.05,1.04,0.031,0.031,1.137,0.013,0.013,4.3437,0.0063,0.0063,0.708,0.01,0.01,0.79,0.03,0.036,0.02,0.01688,0.00017,0.00017,0.0215,0.0021,0.0021,0.1586,0.0028,0.0028,20.5,2,2,4.79,0.48,0.48,-1,-1,-1,2015ApJ...812L..18B,2017AJ....154..237V
WASP-047d,5576,67,67,0.36,0.05,0.05,1.04,0.031,0.031,1.137,0.013,0.013,4.3437,0.0063,0.0063,0.708,0.01,0.01,9.031,0.006,0.0098,0.0041,0.08609,0.00087,0.00087,0.0412,0.0047,0.0047,0.3229,0.0039,0.0039,10.1,1.1,1.1,1.19,0.14,0.14,-1,-1,-1,2015ApJ...812L..18B,2017AJ....154..237V
WASP-048,6000,150,150,-0.12,0.12,0.12,1.062,0.075,0.075,1.519,0.051,0.051,4.101,0.023,0.023,0.303,0.022,0.022,2.144,0,-1,-1,0.0332,0.00078,0.00078,0.907,0.085,0.085,1.396,0.051,0.051,11.5,1.1,1.1,0.312,0.037,0.037,1956,54,54,2011AJ....142...86E,2015A+A...577A..54C
WASP-049,5600,150,150,-0.23,0.07,0.07,1,0.1,0.1,1.038,0.038,0.036,4.406,0.019,0.019,0.893,0.039,0.036,2.782,0,-1,-1,0.0387,0.0013,0.0013,0.396,0.026,0.026,1.198,0.047,0.045,7.13,0.26,0.26,0.229,0.016,0.016,1399,39,43,2012A+A...544A..72L,2016A+A...587A..67L
WASP-050,5518,42,42,0.13,0.04,0.04,0.861,0.057,0.057,0.855,0.019,0.019,4.509,0.013,0.013,1.376,0.032,0.032,1.955,0,-1,-1,0.02913,0.00064,0.00064,1.437,0.068,0.068,1.138,0.026,0.026,27.5,0.64,0.64,0.911,0.033,0.033,1410,26,26,2011A+A...533A..88G,2013MNRAS.431..966T
WASP-052,5000,100,100,0.03,0.12,0.12,0.804,0.05,0.05,0.786,0.016,0.016,4.553,0.01,0.01,1.653,0.02,0.02,1.75,0,-1,-1,0.02643,0.00055,0.00055,0.434,0.024,0.024,1.253,0.027,0.027,6.85,0.26,0.26,0.206,0.009,0.009,1315,26,26,2013A+A...549A.134H,2017MNRAS.465..843M
WASP-053,4950,60,60,0.22,0.11,0.11,0.839,0.054,0.054,0.798,0.023,0.023,4.553,0.019,0.02,1.648,0.091,0.085,3.31,0,0.03,0,0.04101,0.00083,0.00091,2.132,0.092,0.094,1.074,0.037,0.037,47.8,2.5,2.4,1.72,0.15,0.13,1053,16,16,2017MNRAS.467.1714T,2017MNRAS.467.1714T
WASP-054,6296,40,40,0,0.04,0.04,1.213,0.032,0.032,1.828,0.091,0.081,3.997,0.032,0.035,0.198,0.025,0.024,3.694,0.067,0.033,0.025,0.04987,0.00044,0.00044,0.636,0.025,0.024,1.653,0.09,0.083,5.32,0.52,0.52,0.141,0.022,0.019,1759,46,46,2013A+A...551A..73F,2013A+A...551A..73F
WASP-055,6070,53,53,0.09,0.04,0.04,1.162,0.036,0.039,1.102,0.021,0.016,4.419,0.009,0.015,0.869,0.026,0.041,4.466,0,0.2,0,0.0558,0.0006,0.0006,0.627,0.038,0.039,1.335,0.032,0.022,8.73,0.54,0.41,0.247,0.017,0.021,1300,15,13,2012MNRAS.426..739H,2016MNRAS.457.4205S
WASP-056,5600,100,100,0.12,0.06,0.06,1.017,0.024,0.024,1.112,0.026,0.022,4.35,0.02,0.02,0.74,0.04,0.04,4.167,0,-1,-1,0.05458,0.00041,0.00041,0.571,0.034,0.035,1.092,0.035,0.033,10.94,0.92,0.92,0.438,0.048,0.046,1216,25,24,2013A+A...551A..73F,2013A+A...551A..73F
WASP-057,5600,100,100,-0.25,0.1,0.1,0.886,0.067,0.067,0.927,0.033,0.033,4.452,0.025,0.025,1.113,0.085,0.085,2.839,0,-1,-1,0.03769,0.00097,0.00097,0.644,0.062,0.062,1.05,0.053,0.053,14.5,1.5,1.5,0.521,0.072,0.072,1338,29,29,2013A+A...551A..73F,2015MNRAS.454.3094S
WASP-058,5800,150,150,-0.45,0.09,0.09,0.94,0.1,0.1,1.17,0.13,0.13,4.27,0.09,0.09,0.58,0.19,0.19,5.017,0,-1,-1,0.0561,0.002,0.002,0.89,0.07,0.07,1.37,0.2,0.2,10.7,3.4,2.6,0.34,0.14,0.14,1270,80,80,2013A+A...549A.134H,2013A+A...549A.134H
WASP-059,4650,150,150,-0.15,0.11,0.11,0.719,0.035,0.035,0.613,0.044,0.044,4.72,0.06,0.06,3.11,0.64,0.64,7.92,0.1,0.042,0.042,0.0697,0.0011,0.0011,0.863,0.045,0.045,0.775,0.068,0.068,33.1,6.7,5.6,1.8,0.5,0.5,670,35,35,2013A+A...549A.134H,2013A+A...549A.134H
WASP-060,6105,50,50,0.26,0.07,0.07,1.229,0.031,0.031,1.401,0.066,0.066,4.235,0.041,0.041,0.447,0.063,0.063,4.305,0,-1,-1,0.05544,0.00046,0.00046,0.56,0.036,0.036,1.225,0.069,0.069,9.2,1.5,1.5,0.285,0.052,0.052,1479,35,35,2013A+A...549A.134H,2018A+A...613A..41M
WASP-061,6250,150,150,-0.1,0.12,0.12,1.27,0.06,0.06,1.39,0.03,0.03,4.256,0.009,0.013,0.476,0.007,0.02,3.856,0,0.26,0,0.0521,0.0008,0.0008,2.06,0.16,0.16,1.22,0.03,0.03,32.3,2.3,2.6,1.17,0.09,0.1,1624,21,15,2012MNRAS.426..739H,2017MNRAS.464..810B
WASP-062,6230,80,80,0.04,0.06,0.06,1.25,0.05,0.05,1.28,0.05,0.05,4.316,0.025,0.025,0.59,0.06,0.06,4.412,0,0.21,0,0.0567,0.0007,0.0007,0.57,0.04,0.04,1.39,0.06,0.06,6.76,0.65,0.59,0.21,0.03,0.03,1440,30,30,2012MNRAS.426..739H,2012MNRAS.426..739H
WASP-063,5715,60,60,0.28,0.05,0.05,1.32,0.05,0.05,1.88,0.1,0.06,4.01,0.02,0.04,0.198,0.017,0.025,4.378,0,0.22,0,0.0574,0.0007,0.0007,0.38,0.03,0.03,1.43,0.1,0.06,4.17,0.51,0.45,0.13,0.02,0.02,1540,40,40,2012MNRAS.426..739H,2012MNRAS.426..739H
WASP-064,5550,150,150,-0.08,0.11,0.11,1.004,0.028,0.028,1.058,0.025,0.025,4.392,0.016,0.016,0.849,0.053,0.044,1.573,0,0.132,0,0.02648,0.00024,0.00024,1.271,0.068,0.068,1.271,0.039,0.039,19.6,1.4,1.3,0.619,0.064,0.052,1689,49,49,2013A+A...552A..82G,2013A+A...552A..82G
WASP-065,5600,100,100,-0.07,0.07,0.07,0.93,0.14,0.14,1.01,0.05,0.05,4.4,0.02,0.02,0.91,0.03,0.04,2.311,0,-1,-1,0.0334,0.0016,0.0017,1.55,0.16,0.16,1.112,0.059,0.059,28.7,0.9,1.2,1.13,0.07,0.08,1480,10,10,2013A+A...559A..36G,2013A+A...559A..36G
WASP-066,6600,150,150,-0.31,0.1,0.1,1.3,0.07,0.07,1.75,0.09,0.09,4.06,0.04,0.04,0.242,0.036,0.028,4.086,0,0.11,0,0.0546,0.0009,0.0009,2.32,0.13,0.13,1.39,0.09,0.09,27.5,3.4,3,0.86,0.17,0.13,1790,60,60,2012MNRAS.426..739H,2012MNRAS.426..739H
WASP-067,5417,85,85,0.18,0.06,0.06,0.829,0.062,0.062,0.817,0.022,0.022,4.533,0.016,0.016,1.522,0.049,0.049,4.614,0,0.2,0,0.051,0.0013,0.0013,0.406,0.035,0.035,1.091,0.046,0.046,8.45,0.83,0.83,0.292,0.036,0.036,1003,20,20,2012MNRAS.426..739H,2014A+A...568A.127M
WASP-068,5910,60,60,0.22,0.08,0.08,1.24,0.03,0.03,1.69,0.11,0.06,4.09,0.13,0.08,0.26,0.03,0.05,5.084,0,0.063,0,0.06206,0.00045,0.0004,0.95,0.03,0.03,1.24,0.1,0.06,15.5,1.5,2,0.5,0.07,0.1,1490,44,29,2014A+A...563A.143D,2014A+A...563A.143D
WASP-069,4700,50,50,0.15,0.08,0.08,0.826,0.029,0.029,0.813,0.028,0.028,4.535,0.023,0.023,1.54,0.13,0.13,3.868,0,0.1,0,0.04525,0.00053,0.00053,0.26,0.017,0.017,1.057,0.047,0.047,5.32,0.56,0.56,0.219,0.031,0.031,963,18,18,2014MNRAS.445.1114A,2014MNRAS.445.1114A
WASP-070,5864,25,25,0.21,0.02,0.02,1.111,0.034,0.034,1.251,0.079,0.079,4.29,0.055,0.055,0.57,0.11,0.11,3.713,0,0.067,0,0.0486,0.0005,0.0005,0.592,0.02,0.02,1.186,0.088,0.088,10.4,1.6,1.6,0.332,0.076,0.076,1433,46,46,2014MNRAS.445.1114A,arXiv:2001.08225
WASP-071,6180,52,52,0.37,0.04,0.04,1.559,0.06,0.06,2.26,0.17,0.17,3.92,0.05,0.05,0.135,0.024,0.024,2.904,0,0.06,0,0.04619,0.00069,0.00069,2.242,0.08,0.08,1.46,0.13,0.13,23.9,3.3,3.3,0.71,0.16,0.16,2049,73,73,2013A+A...552A.120S,2013A+A...552A.120S
WASP-072,6250,100,100,-0.06,0.09,0.09,1.386,0.055,0.055,1.98,0.24,0.24,3.99,0.1,0.11,0.177,0.073,0.048,2.217,0,0.079,0,0.03708,0.0005,0.0005,1.461,0.059,0.056,1.27,0.2,0.2,22.9,7.3,5.5,0.72,0.43,0.25,2210,120,130,2013A+A...552A..82G,2013A+A...552A..82G
WASP-073,6030,120,120,0.14,0.14,0.14,1.34,0.05,0.04,2.07,0.19,0.08,3.93,0.04,0.06,0.15,0.02,0.04,4.087,0,0.074,0,0.05512,0.0006,0.00053,1.88,0.07,0.06,1.16,0.12,0.08,34.7,5.1,5.8,1.2,0.26,0.3,1790,75,51,2014A+A...563A.143D,2014A+A...563A.143D
WASP-074,5984,57,57,0.34,0.02,0.02,1.191,0.038,0.038,1.536,0.026,0.026,4.141,0.012,0.012,0.329,0.012,0.012,2.138,0,0.07,0,0.03443,0.00022,0.00022,0.826,0.021,0.021,1.404,0.022,0.022,10.38,0.26,0.26,0.279,0.01,0.01,1926,21,21,2015AJ....150...18H,arXiv:1903.02800
WASP-075,6100,100,100,0.07,0.09,0.09,1.16,0.03,0.03,1.27,0.02,0.02,4.294,0.008,0.008,0.566,0.003,0.003,2.484,0,0.1,0,0.0377,0.0006,0.0006,1.08,0.05,0.05,1.31,0.02,0.02,14.5,0.3,0.3,0.48,0.02,0.02,1688,25,26,2013A+A...559A..36G,2018PASP..130c4401C
WASP-076,6329,65,65,0.366,0.053,0.053,1.458,0.021,0.021,1.765,0.071,0.071,4.196,0.106,0.106,0.268,0.013,0.035,1.81,0,0.05,0,0.033,0.0002,0.0002,0.894,0.019,0.013,1.854,0.077,0.076,6.4,0.5,0.5,0.128,0.015,0.015,2228,122,122,2016A+A...585A.126W,arXiv:2003.05528
WASP-077,5605,41,41,0.07,0.03,0.03,1.002,0.045,0.045,0.955,0.015,0.015,4.33,0.08,0.08,1.157,0.016,0.02,1.36,0,-1,-1,0.024,0.00036,0.00036,1.76,0.06,0.06,1.21,0.02,0.02,27.61,0.51,0.51,1,0.03,0.03,-1,-1,-1,2013PASP..125...48M,2013PASP..125...48M
WASP-078,6100,150,150,-0.35,0.14,0.14,1.39,0.09,0.08,2.35,0.1,0.09,3.84,0.024,0.024,0.108,0.01,0.01,2.175,0,0.24,0,0.0367,0.0008,0.0008,0.86,0.08,0.08,2.06,0.1,0.1,4.69,0.48,0.48,0.099,0.014,0.014,2470,54,56,2012A+A...547A..61S,2017MNRAS.464..810B
WASP-079,6600,100,100,0.03,0.1,0.1,1.39,0.08,0.08,1.51,0.04,0.03,4.226,0.01,0.01,0.408,0.012,0.012,3.662,0,-1,-1,0.0519,0.0008,0.0008,0.86,0.08,0.08,1.53,0.04,0.04,8.39,0.74,0.74,0.24,0.023,0.023,1716,26,24,2012A+A...547A..61S,2017MNRAS.464..810B
WASP-080,4145,100,100,-0.14,0.16,0.16,0.596,0.035,0.035,0.593,0.012,0.012,4.668,0.008,0.008,2.862,0.05,0.05,3.068,0,0.07,0,0.03479,0.00068,0.00068,0.562,0.027,0.027,0.986,0.022,0.022,14.34,0.46,0.46,0.549,0.023,0.023,825,20,20,2013A+A...551A..80T,2014A+A...562A.126M
WASP-081,5890,120,120,-0.36,0.14,0.14,1.08,0.059,0.058,1.283,0.04,0.037,4.258,0.022,0.027,0.513,0.03,0.037,2.716,0,0.066,0,0.03908,0.0007,0.00072,0.729,0.036,0.035,1.429,0.051,0.046,9.27,0.59,0.62,0.25,0.023,0.023,1623,38,37,2017MNRAS.467.1714T,2017MNRAS.467.1714T
WASP-082,6500,80,80,0.12,0.11,0.11,1.635,0.079,0.079,2.219,0.097,0.076,3.958,0.026,0.026,0.149,0.015,0.015,2.706,0,0.053,0,0.04477,0.00072,0.00072,1.248,0.045,0.045,1.712,0.088,0.069,9.75,0.72,0.82,0.249,0.03,0.03,2202,45,45,2016A+A...585A.126W,2015AcA....65..117S
WASP-083,5480,110,110,0.29,0.12,0.12,1.11,0.09,0.09,1.05,0.06,0.04,4.44,0.02,0.04,0.97,0.07,0.13,4.971,0,0.3,0,0.059,0.001,0.001,0.3,0.03,0.03,1.04,0.08,0.05,6.17,0.85,0.85,0.26,0.05,0.05,1120,30,30,2015AJ....150...18H,2015AJ....150...18H
WASP-084,5280,80,80,0.09,0.12,0.12,0.853,0.058,0.058,0.768,0.019,0.019,4.598,0.012,0.012,1.882,0.049,0.049,8.523,0,0.045,0,0.0775,0.0017,0.0017,0.687,0.033,0.033,0.976,0.025,0.025,16.52,0.46,0.46,0.741,0.034,0.034,833,13,13,2014MNRAS.445.1114A,2015ApJ...800L...9A
WASP-085,5685,65,65,0.08,0.1,0.1,1.09,0.08,0.08,0.935,0.023,0.023,4.519,0.007,0.007,1.33,0.007,0.007,2.656,0,-1,-1,0.039,0.001,0.001,1.265,0.065,0.065,1.24,0.03,0.03,-1,-1,-1,0.66,0.02,0.02,1452,6,6,arXiv:1412.7761,2016AJ....151..150M
WASP-086,6330,110,110,0.23,0.14,0.14,1.239,0.028,0.028,1.291,0.014,0.013,4.309,0.006,0.006,0.57,0.01,0.01,5.032,0,-1,-1,0.0627,0.0005,0.0005,0.821,0.056,0.056,0.632,0.014,0.013,47,3,3,3.24,0.31,0.26,1415,22,22,arXiv:1608.04225,arXiv:1608.04225
WASP-087,6450,120,120,-0.41,0.1,0.1,1.204,0.093,0.093,1.627,0.062,0.062,4.096,0.023,0.023,0.28,0.021,0.021,1.683,0,0.099,0,0.02946,0.00075,0.00075,2.18,0.15,0.15,1.385,0.06,0.06,26.1,1.9,1.9,0.823,0.088,0.088,2322,50,50,arXiv:1410.3449,arXiv:1410.3449
WASP-088,6450,61,61,0.03,0.04,0.04,1.288,0.035,0.035,1.93,0.12,0.03,3.976,0.015,0.051,0.179,0.09,0.029,4.954,0,0.482,0,0.06431,0.00065,0.00062,0.52,0.067,0.066,1.63,0.12,0.03,4.84,0.64,0.88,0.112,0.016,0.026,1737,54,15,2014A+A...563A.143D,arXiv:2106.14808
WASP-089,4955,100,100,0.15,0.14,0.14,0.92,0.08,0.08,0.88,0.03,0.03,4.515,0.018,0.018,1.36,0.07,0.07,3.356,0.193,0.009,0.009,0.0427,0.0012,0.0012,5.9,0.4,0.4,1.04,0.04,0.04,125.9,5.8,5.8,5.27,0.33,0.33,1120,20,20,2015AJ....150...18H,2015AJ....150...18H
WASP-090,6440,130,130,0.11,0.14,0.14,1.55,0.1,0.1,1.98,0.09,0.09,4.033,0.029,0.029,0.2,0.02,0.02,3.916,0,0.5,0,0.0562,0.0012,0.0012,0.63,0.07,0.07,1.63,0.09,0.09,5.37,0.8,0.69,0.145,0.027,0.027,1840,50,50,2016A+A...585A.126W,2016A+A...585A.126W
WASP-091,4920,80,80,0.19,0.13,0.13,0.84,0.07,0.07,0.86,0.03,0.03,4.49,0.03,0.03,1.3,0.1,0.1,2.799,0,0.07,0,0.037,0.001,0.001,1.34,0.08,0.08,1.03,0.04,0.04,28.8,2.1,1.9,1.2,0.1,0.1,1160,30,30,2017A+A...604A.110A,2017A+A...604A.110A
WASP-092,6280,120,120,0,0.14,0.14,1.19,0.037,0.037,1.341,0.058,0.058,4.259,0.031,0.031,0.495,0.055,0.055,2.175,0,-1,-1,0.0348,0.00036,0.00036,0.805,0.068,0.068,1.461,0.077,0.077,8.7,1.2,1.1,0.26,0.044,0.044,1871,56,56,2016MNRAS.463.3276H,2016MNRAS.463.3276H
WASP-093,6700,100,100,0.07,0.17,0.17,1.334,0.033,0.033,1.524,0.04,0.04,4.197,0.019,0.019,0.376,0.028,0.028,2.733,0,-1,-1,0.04211,0.00035,0.00035,1.47,0.29,0.29,1.597,0.077,0.077,13.2,3.1,2.5,0.36,0.084,0.084,1942,38,38,2016MNRAS.463.3276H,2016MNRAS.463.3276H
WASP-094,6170,80,80,0.26,0.15,0.15,1.45,0.09,0.09,1.62,0.05,0.04,4.181,0.013,0.017,0.344,0.011,0.02,3.95,0,0.13,0,0.055,0.001,0.001,0.452,0.035,0.032,1.72,0.06,0.05,3.48,0.25,0.25,0.089,0.008,0.008,1604,25,22,2014A+A...572A..49N,2014A+A...572A..49N
WASP-095,5830,140,140,0.14,0.16,0.16,1.11,0.09,0.09,1.13,0.08,0.04,4.38,0.02,0.04,0.78,0.04,0.13,2.185,0,0.04,0,0.03416,0.00083,0.00083,1.13,0.1,0.04,1.21,0.06,0.06,21.8,1,3.3,0.85,0.07,0.02,1570,50,50,2014MNRAS.440.1982H,2014MNRAS.440.1982H
WASP-096,5500,150,150,0.14,0.19,0.19,1.06,0.09,0.09,1.05,0.05,0.05,4.42,0.02,0.02,0.922,0.073,0.073,3.426,0,0.27,0,0.0453,0.0013,0.0013,0.48,0.03,0.03,1.2,0.06,0.06,7.59,0.73,0.68,0.28,0.04,0.04,1285,40,40,2014MNRAS.440.1982H,2014MNRAS.440.1982H
WASP-097,5670,110,110,0.23,0.11,0.11,1.12,0.05,0.05,1.06,0.04,0.04,4.43,0.03,0.03,0.93,0.09,0.09,2.073,0,0.05,0,0.03303,0.00056,0.00056,1.32,0.05,0.05,1.13,0.06,0.06,23.4,2.2,2.2,0.91,0.11,0.11,1555,40,40,2014MNRAS.440.1982H,2014MNRAS.440.1982H
WASP-098,5473,121,121,-0.49,0.1,0.1,0.809,0.064,0.064,0.741,0.021,0.021,4.606,0.013,0.013,1.987,0.046,0.046,2.963,0,0.24,0,0.03762,0.00099,0.00099,0.922,0.08,0.08,1.144,0.034,0.034,17.5,1.2,1.2,0.576,0.046,0.046,1171,26,26,2014MNRAS.440.1982H,2016MNRAS.461.1053M
WASP-099,6150,100,100,0.21,0.15,0.15,1.48,0.1,0.1,1.76,0.11,0.06,4.12,0.02,0.04,0.27,0.02,0.04,5.753,0,0.02,0,0.0717,0.0016,0.0016,2.78,0.13,0.13,1.1,0.08,0.05,52.5,3.8,6.8,2.1,0.3,0.3,1480,40,40,2014MNRAS.440.1982H,2014MNRAS.440.1982H
WASP-100,6940,120,120,0,0.08,0.08,1.47,0.06,0.05,1.67,0.18,0.11,4.16,0.06,0.08,0.269,0.01,0.009,2.849,0,0.1,0,0.043,0.005,0.003,2.03,0.12,0.12,1.4,0.2,0.3,16.2,6.7,4.7,0.4,0.2,0.2,2077,58,55,2014MNRAS.440.1982H,arXiv:2001.10580
WASP-101,6380,120,120,0.2,0.12,0.12,1.34,0.07,0.07,1.29,0.04,0.04,4.345,0.019,0.019,0.626,0.043,0.043,3.586,0,0.03,0,0.0506,0.0009,0.0009,0.5,0.04,0.04,1.41,0.05,0.05,5.75,0.56,0.51,0.18,0.02,0.02,1560,35,35,2014MNRAS.440.1982H,2014MNRAS.440.1982H
